m1,sd1,m2,sd2,m3,sd3,m4,sd4
0.00588,0.0046074,0.7,0,0.9943333,0.0045092,0.6536667,0.0581062
0.309,0.1448206,0.662,0.1344433,0.835,0.005,0.6823333,0.0255799
0.4,0.0927613,0.69825,0.1149126,0.78675,0.0189978,0.64175,0.0408524
0.474,0.0750866,0.64225,0.1151503,0.73225,0.0946304,0.65775,0.0449027
0.5523333,0.0686756,0.6486667,0.0332916,0.715,0.0240208,0.6833333,0.0461988
0.5365,0.1219194,0.67975,0.0440104,0.694,0.0990589,0.67925,0.041828
0.50425,0.0390758,0.649,0.04871,0.7055,0.0528173,0.6785,0.0499967
0.54825,0.0612121,0.6035,0.0332014,0.714,0.0526435,0.67125,0.0275242
0.596,0.0437645,0.646,0.0380088,0.7135,0.0559434,0.6865,0.0558614
0.59775,0.0939765,0.68425,0.0443725,0.7345,0.0307517,0.68875,0.0375089
0.592,0.0217409,0.66,0.0116905,0.7123333,0.0666058,0.648,0.0141421
0.62725,0.0280877,0.6865,0.0412997,0.67875,0.0560796,0.6635,0.0087369
0.619,0.0629974,0.6675,0.0466011,0.6566667,0.0587055,0.661,0.0421505
